School_Name,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,Location 1
WELLPINIT ELEMENTARY SCHOOL,175.0,96.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WELLPINIT SCHOOL DISTRICT,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,K -5,Y,N,"PO BOX 390
WELLPINIT"
KELLER ELEMENTARY SCHOOL,27.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KELLER SCHOOL DISTRICT,FERRY,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y,"P.O. BOX 367
KELLER"
MOUNT ADAMS MIDDLE SCHOOL,131.0,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOUNT ADAMS SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,7-8,N,N,"P.O. BOX 578
WHITE SWAN"
YELM PRAIRIE ELEMENTARY,518.0,88.6,5.4,1.5,3.5,0.4,0.0,3.7,3.7,3.7,3.3,3.1,4.6,459.0,28.0,8.0,18.0,2.0,0.0,19.0,19.0,19.0,17.0,16.0,24.0,YELM SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,PK-6,Y,Y,"PO BOX 476
YELM"
GLENWOOD ELEMENTARY,38.0,89.5,5.3,5.3,0.0,0.0,0.0,2.6,2.6,2.6,5.3,2.6,5.3,34.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,GLENWOOD SCHOOL DISTRICT,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,K -6,Y,Y,"PO BOX 12
GLENWOOD"
MULLENIX RIDGE ELEMENTARY SCHOOL,526.0,93.5,5.7,1.5,4.0,0.2,0.0,4.4,4.4,4.6,4.4,3.0,4.2,492.0,30.0,8.0,21.0,1.0,0.0,23.0,23.0,24.0,23.0,16.0,22.0,SOUTH KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,PK-6,Y,Y,"3900 SE MULLENIX RD
PORT ORCHARD
(47.46867, -122.60313)"
DEARBORN PARK ELEMENTARY SCHOOL,350.0,91.7,1.4,0.9,1.4,0.0,0.0,0.6,0.6,1.1,0.9,0.9,1.7,321.0,5.0,3.0,5.0,0.0,0.0,2.0,2.0,4.0,3.0,3.0,6.0,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"2820 S ORCAS ST
SEATTLE
(47.550855, -122.295515)"
LONGFELLOW ELEMENTARY,549.0,94.2,4.2,1.3,2.6,0.4,0.2,2.4,2.4,2.4,2.2,2.4,3.5,517.0,23.0,7.0,14.0,2.0,1.0,13.0,13.0,13.0,12.0,13.0,19.0,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y,"800 E PROVIDENCE AVE
SPOKANE
(47.692318, -117.396467)"
GARRY MIDDLE SCHOOL,587.0,91.0,7.8,2.7,4.8,0.2,0.3,4.8,4.8,3.1,2.7,1.9,5.5,534.0,46.0,16.0,28.0,1.0,2.0,28.0,28.0,18.0,16.0,11.0,32.0,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,7-8,N,N,"725 E JOSEPH AVE
SPOKANE
(47.709675, -117.398734)"
GOLDENDALE HIGH SCHOOL,313.0,92.0,7.3,0.6,3.5,2.2,1.0,1.9,1.9,2.6,2.9,2.2,6.1,288.0,23.0,2.0,11.0,7.0,3.0,6.0,6.0,8.0,9.0,7.0,19.0,GOLDENDALE SCHOOL DISTRICT,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 105,9-12,N,N,"525 SIMCOE DR.
GOLDENDALE
(45.813529, -120.815422)"
LYON ELEMENTARY SCHOOL,363.0,93.9,2.8,0.8,1.9,0.0,0.3,2.2,0.6,2.2,2.2,1.7,2.8,341.0,10.0,3.0,7.0,0.0,1.0,8.0,2.0,8.0,8.0,6.0,10.0,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"101 E 46TH ST
TACOMA
(47.215213, -122.430488)"
GAUSE ELEMENTARY,624.0,91.7,5.9,2.2,2.9,0.8,0.0,4.6,4.5,4.5,4.8,4.5,4.5,572.0,37.0,14.0,18.0,5.0,0.0,29.0,28.0,28.0,30.0,28.0,28.0,WASHOUGAL SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"1100 34TH STREET
WASHOUGAL
(45.58474, -122.332219)"
ROOSEVELT ELEMENTARY SCHOOL,548.0,98.0,1.5,1.3,0.2,0.0,0.0,0.9,0.9,0.9,0.7,0.4,1.3,537.0,8.0,7.0,1.0,0.0,0.0,5.0,5.0,5.0,4.0,2.0,7.0,YAKIMA SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N,"120 N 16TH AVE
YAKIMA
(46.599053, -120.530389)"
CENTENNIAL ELEMENTARY,489.0,94.3,3.5,2.0,0.8,0.4,0.2,2.2,2.2,2.7,2.2,1.4,2.9,461.0,17.0,10.0,4.0,2.0,1.0,11.0,11.0,13.0,11.0,7.0,14.0,BETHEL SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,"24323 54TH AVE E
GRAHAM
(47.033192, -122.35775)"
CLE ELUM ROSLYN HIGH SCHOOL,273.0,95.2,2.9,1.1,1.5,0.4,0.0,2.2,1.5,1.5,1.8,2.2,0.7,260.0,8.0,3.0,4.0,1.0,0.0,6.0,4.0,4.0,5.0,6.0,2.0,CLE ELUM-ROSLYN SCHOOL DISTRICT,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,9-12,N,N,"2692 SR 903
CLE ELUM
(47.210805, -120.984046)"
MILLENNIUM ELEMENTARY SCHOOL,599.0,91.8,4.7,0.7,4.0,0.2,0.0,4.2,4.2,3.8,3.8,3.2,4.2,550.0,28.0,4.0,24.0,1.0,0.0,25.0,25.0,23.0,23.0,19.0,25.0,KENT SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,"11919 SE 270TH ST
KENT
(47.35978, -122.180776)"
FIRST CREEK MIDDLE SCHOOL,790.0,96.3,1.1,0.1,0.5,0.5,0.0,0.5,1.1,0.4,0.4,0.4,0.6,761.0,9.0,1.0,4.0,4.0,0.0,4.0,9.0,3.0,3.0,3.0,5.0,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y,"1801 E. 56TH STREET
TACOMA
(47.206249, -122.405286)"
EASTON SCHOOL,114.0,90.4,0.0,0.0,0.0,0.0,0.0,7.0,7.0,2.6,2.6,4.4,6.1,103.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3.0,3.0,5.0,7.0,EASTON SCHOOL DISTRICT,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,K -12,Y,Y,"P O BOX 8
EASTON"
EXPLORER MIDDLE SCHOOL,972.0,87.9,3.2,0.9,2.4,0.3,0.0,1.7,1.7,0.6,0.8,0.8,1.9,854.0,31.0,9.0,23.0,3.0,0.0,17.0,17.0,6.0,8.0,8.0,18.0,MUKILTEO SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,N,Y,"9600 SHARON DRIVE
EVERETT
(47.910648, -122.245751)"
COLUMBIA CREST ELEMENTARY SCHOOL,203.0,79.8,8.9,4.4,4.4,0.0,0.0,6.4,5.9,7.4,6.4,4.9,7.9,162.0,18.0,9.0,9.0,0.0,0.0,13.0,12.0,15.0,13.0,10.0,16.0,EATONVILLE SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,"24503 STATE ROUTE 706 E
ASHFORD
(46.75381, -122.109613)"
GEORGE ELEMENTARY,183.0,97.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QUINCY SCHOOL DISTRICT,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -4,Y,N,"101 S. WASHINGTON WAY
QUINCY
(42.244512, -70.994001)"
LA CONNER ELEMENTARY,239.0,83.3,2.9,1.3,1.3,0.0,0.4,1.3,1.3,1.3,1.7,1.3,1.7,199.0,7.0,3.0,3.0,0.0,1.0,3.0,3.0,3.0,4.0,3.0,4.0,LA CONNER SCHOOL DISTRICT,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N,"PO BOX 2103
LA CONNER"
GOLDENDALE MIDDLE SCHOOL,296.0,90.9,9.1,1.7,6.1,1.0,0.3,3.4,3.4,1.0,1.4,1.7,6.4,269.0,27.0,5.0,18.0,3.0,1.0,10.0,10.0,3.0,4.0,5.0,19.0,GOLDENDALE SCHOOL DISTRICT,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 105,5-8,N,Y,"520 E. COLLINS DR.
GOLDENDALE"
AUBURN ADVENTIST ACADEMY,235.0,94.5,5.5,0.4,4.3,0.9,0.0,5.5,5.5,5.5,5.5,5.5,5.5,222.0,13.0,1.0,10.0,2.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0,AUBURN SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N,"5000 AUBURN WAY S
AUBURN
(47.279633, -122.164532)"
WOODINVILLE HIGH SCHOOL,1464.0,87.4,6.4,1.6,4.8,0.1,0.0,4.2,4.2,3.1,2.7,3.6,3.1,1279.0,94.0,23.0,70.0,2.0,0.0,61.0,61.0,45.0,40.0,53.0,45.0,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,10-12,N,N,"19819 136 NE
WOODINVILLE"
WATERVILLE HIGH SCHOOL,155.0,72.9,3.9,0.0,2.6,1.3,0.0,1.9,1.9,0.6,1.3,2.6,1.9,113.0,6.0,0.0,4.0,2.0,0.0,3.0,3.0,1.0,2.0,4.0,3.0,WATERVILLE SCHOOL DISTRICT,DOUGLAS,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,7-12,N,N,"PO BOX 490
WATERVILLE"
HILLSIDE ELEMENTARY SCHOOL,530.0,96.4,2.6,2.1,0.0,0.6,0.0,1.5,1.5,1.3,1.3,1.7,1.7,511.0,14.0,11.0,0.0,3.0,0.0,8.0,8.0,7.0,7.0,9.0,9.0,CLOVER PARK SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"GARCIA BLVD AND MAGNOLIA BLVD
FORT LEWIS
(47.10532, -122.571987)"
ROOSEVELT ELEMENTARY SCHOOL,28.0,71.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROOSEVELT SCHOOL DISTRICT,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,K-6,Y,Y,"P.O. BOX 248
ROOSEVELT"
FRANKLIN PIERCE HIGH SCHOOL,1201.0,96.0,4.0,0.0,3.7,0.2,0.0,3.0,0.2,1.7,2.1,1.7,2.2,1153.0,48.0,0.0,45.0,3.0,0.0,36.0,3.0,20.0,25.0,21.0,26.0,FRANKLIN PIERCE SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N,"11002 18TH AVE E
TACOMA
(47.15856, -122.405537)"
